Text,Label
"Distribution and heterogeneity of data is the current issues in data level implementation. Different data representation between applications makes the integration problem increasingly complex. Stored data between applications sometimes have similar meaning, but because of the differences in data representation, the application cannot be integrated with the other applications. Many researchers found that the semantic technology is the best way to resolve the current data integration issues. Semantic technology can handle heterogeneity of data; data with different representations and sources. With semantic technology data mapping can also be done from different database and different data format that have the same meaning data. This paper focuses on the semantic data mapping using semantic ontology approach. In the first level of process, semantic data mapping engine will produce data mapping language with turtle (.ttl) file format that can be used for Local Java Application using Jena Library and Triple Store. In the second level process, D2R Server that can be access from outside environment is provided using HTTP Protocol to access using SPARQL Clients, Linked Data Clients (RDF Formats) and HTML Browser. Future work to will continue on this topic, focusing on E-Learning Usage Index Tool (IPEL) application that is able to integrate with others system applications like Moodle E-Learning Systems.",0
"Performance evaluation of faculty members in a higher education is a serious challenge for management. Several qualitative and quantitative factors are considered leading to targeted professional growth of an organization to evaluate the performance, such as acquiring research grants, research profile, student evaluation, publications, academic responsibilities etc. However, to quantify such information is a difficult task. Usually standard “Key Performance Indicators” (KPIs) are used to evaluate bare level workload of a faculty, however gauging quality always remain a challenge. In this paper, we propose an ontology based faculty performance evaluation system where the ontology is used to conceptualize the qualitative factors of the faculty as well as the set of rules that together make a system. The Semantic Web Rule Language (SWRL) is used to represent rules in ontology and built-in reasoning support help to deduce new knowledge. The presented work has been tested by applying it on real data set of a Public Sector University in Pakistan, and analyzes the strengths and weaknesses of the proposed system. It must be mentioned that the use of ontology makes the system easily modifiable due to the availability of the sophisticated ontology editors and APIs as well as provides complete automatic system.",1
"In 1984 Kuper and Vardi presented a logical data model (LDM) which generalizes the relational, hierarchical and networks database models. In this model, a database is a schema represented by a directed multigraph whose leaves represent data. In 1998, the W3C proposed the resource description framework (RDF) as a data model for representing the network of metadata on the Web. In this short paper we show that LDM and RDF are mutually interpretable in each other, presenting the result for RDF without vocabulary from RDFS.",0
"Summary form only given. Centralized architectures based on the client server paradigm show their limits each time the Internet extends its capabilities. They present problems in terms of security, robustness, performance, high needs for administration. Short time solutions like load balancing and replication, or purchasing of more powerful hardware tend to cope with these limits for a while, but do not provide a definitive answer to these problems. Currently, different proprietary approaches hinder attempts to enabling communication between heterogeneous systems, while the Internet is developing toward a better interoperability with service-oriented architectures. Open source and standardization efforts allow building a framework providing an original answer to interoperability and scalability over the Internet. In this paper, we consider that the distributed nature of P2P platforms allied with the standardized WS architecture, based on SOAP and WSDL represent a powerful framework for building dynamic interoperable and decentralized information systems. The aim of our work is to allow P2P participants to dynamically access and compose semantic WS outside of the P2P network, and to improve existing WS publication and discovery by using the decentralization of P2P architecture. In order to achieve this goal, we propose a mediation framework built around the JXTA P2P architecture. This framework is based on the OWL-S language as a means for a semantic description of WS interfaces, in order to solve heterogeneity problems.",1
"This paper introduces a multi-agent system (MAS) architecture and a relevant algorithm for multiple agents to manage and deploy ontologies in a dynamic environment. Firstly, an ontology description is given followed by a three level conceptual model which shows the background of our work. Then a MAS architecture is presented. Finally, we demonstrate how this approach enables ontology evolution and integration by using the JADE platform.",1
Probabilistic inference will be of special importance when one needs to know how much we can say with what all we know given new observations. Bayesian Network is a graphical probabilistic model with which one can represent probabilistic relations intuitively and several effective algorithms for inference are developed. This paper reports a now ongoing work in its design stage which provides a vocabulary for representing probabilistic knowledge in a RDF graph which is to be mapped to a Bayesian Network to do inference on it.,1
"semantic caching data warehousing and semantic data mining spatial, temporal, multimedia and multimodal semantics semantics in data visualization semantic services for mobile users supporting tools applications of semantic-driven approaches These topics are to be understood as speci?cally related to semantic issues. Contributions submitted to the journal and dealing with semantics of data will be considered even if they are not within the topics in the list. While the physical appearance of the journal issues looks like the books from the well-known Springer LNCS series, the mode of operation is that of a journal. Contributions can be freely submitted by authors and are reviewed by the Editorial Board. Contributions may also be invited, and nevertheless carefully reviewed, as in the case for issues that contain extended versions of best papers from major conferences addressing data semantics issues. Special issues, focusing on a speci?c topic, are coordinated by guest editors once the proposal for a special issue is accepted by the Editorial Board. Finally, it is also possible that a journal issue be devoted to a single text",0
"SMIng (next generation structure of management information), an information model for network management, is a prospective structure of management information. When deploying the multi-agent systems to network management environments, we have established a lightweight self-contained knowledge model based on RDF (resource description framework) and its extensions. We also present an implementation prototype to support agent communication and coordination by RDF-based languages.",1
"The CORES metadata schemas registry is designed to enable users to discover and navigate metadata element sets. The paper reflects on some of the experiences of implementing the registry, and examines some of the issues of promoting such services in the context of a ""partially Semantic Web"" where metadata applications are evolving and many have not yet adopted the RDF model.",1
"The Web Services world consist of loosely-coupled distributed systems which adapt to changes by the use of service descriptions that enable ad-hoc, opportunistic service discovery and reuse. At present, these service descriptions are semantically improverished, being concerned with describing the functional signature of the services rather than characterising their meaning. In the Semantic Web community, the DAML Services effort attempts to rectify this by providing a more expressive way of describing Web services using ontologies. However, this approach does not separate the domain-neutral communicative intent of a message from its domain-specific content, unlike similar developments from the multi-agent systems community. We describe our experiences of designing and building an ontologically motivated Web Services system for situational awareness and information triage in a simulated humanitarian aid scenario. In particular, we discuss the merits of using techniques from the multi-agent systems community for separating the intentional force of messages from their content, and the implementation of these techniques within the DAML Services model.",1
"We introduce an event gazetteer which stores and presents ""locations in time"". Each event is coded with attributes of event type, location, actor, and beginning and ending times. Events can also contain sets of other events. This paper reports the development of an interface for generating searches to these ""part-of"" relationships. For instance, we can search for all named Battles in the event database which occurred during the Civil War. Ultimately, we envision a flexible, broad-based service that is a resource for users ranging from students to genealogists and researchers interested in historical events.",1
"Complex Semantic Web (SW) services may have intricate data state, autonomous process behavior and concurrent interactions. The design of such SW service systems requires precise and powerful modelling techniques to capture not only the ontology domain properties but also the services' process behavior and functionalities. In this paper we apply an integrated formal modeling language, Timed Communicating Object Z (TCOZ), to design SW services. Furthermore, the paper presents the development of the systematic translation rules and tools which can automatically extract the SW ontology and services semantic markup from the formal TCOZ design model.",1
"Ontology has been collecting a lot of attention recently. In fact, it has potential for resolving several key problems such as semantic tag design for semantic web, semantic integration, knowledge sharing/reuse, etc. However, it is also true that people have different understanding of ontology. This article is written to contribute to clarification of the understanding of ontology and ontological engineering and to promotion of its utility. Although the discussion is made in the context of Artificial Intelligence in Education domain, I believe the content is pretty general.",1
"Purpose – This study aims to present a new web page recommendation system that can help users to reduce navigational time on the internet.Design/methodology/approach – The proposed design is based on the primacy effect of browsing behavior, that users prefer top ranking items in search results. This approach is intuitive and requires no training data at all.Findings – A user study showed that users are more satisfied with the proposed search methods than with general search engines using hot keywords. Moreover, two performance measures confirmed that the proposed search methods out‐perform other metasearch and search engines.Research limitations/implications – The research has limitations and future work is planned along several directions. First, the search methods implemented are primarily based on the keyword match between the contents of web pages and the user query items. Using the semantic web to recommend concepts and items relevant to the user query might be very helpful in finding the exact conte...",0
"Ontologies are increasingly used to represent the intended real-world semantics of data and services in information systems. Unfortunately, different databases often do not relate to the same ontologies when describing their semantics. Consequently, it is desirable to have information about the similarity between ontology concepts for ontology alignment and integration. This paper presents the SOQA-SimPack Toolkit (SST), an ontology language independent Java API that enables generic similarity detection and visualization in ontologies. We demonstrate SST’s usefulness with the SOQA-SimPack Toolkit Browser, which allows users to graphically perform similarity calculations in ontologies.",1
"Problems of reference, identity, and meaning are becoming increasingly endemic on the Web. We focus rst on the convergence between Web architecture and classical problems in philosophy, leading to the advent of \philosophical engineering."" We survey how the Semantic Web initiative in particular provoked an \identity crisis"" for the Web due to its use of URIs for both \things"" and web pages and the W3C’s proposed solution. The problem of reference is inspected in relation to both the direct object theory of reference of Russell and the causal theory of reference of Kripke, and the proposed standards of new URN spaces and Published Subjects. Then we progress onto the problem of meaning in light of the Fregean slogan of the priority of truth over reference and the notion of logical interpretation. The popular notion of \social meaning"" and the practice of tagging as a possible solution is analyzed in light of the ideas of Lewis on convention. Finally, we conclude that a full notion of meaning, identity, and reference may be possible, but that it is an open problem whether or not practical implementations and standards can be created.",0
